Tag          Kelime                          P(Kelime, Tag)
-----------  ----------------------------  ----------------
'            '                                  2.29412
''           ''                                 1.53954
(            (                                  1.28094
(-hl         (                                  1
)            )                                  1.29139
)-hl         )                                  1
*            not                                1.10063
*-hl         not                                1
,            ,                                  2.9399
,-hl         ,                                  1.28571
--           --                                 1.45601
---hl        --                                 1
.            !                                  0.0167064
.            .                                  0.868019
.            :                                  0.00143198
.            ;                                  0.149403
.            ?                                  0.09642
.-hl         !                                  0.0784314
.-hl         .                                  0.803922
.-hl         ?                                  0.313725
2            1-1                                0.166667
2            13-1                               0.166667
2            2-1                                0.166667
2            3-1                                0.166667
2            87-1                               0.166667
2            9-1                                0.166667
2%           4-1                                1
2-inch       17-1                               1
2-story      1-1                                1
4            2                                  0.333333
4            2-3                                0.333333
4            4                                  0.333333
8            4-7                                1
:            :                                  1.02985
:-hl         :                                  1
:-tl         :                                  1
``           ``                                 1.55029
abl          quite                              0.152174
abl          such                               0.891304
abn          all                                0.966981
abn          half                               0.108491
abn          many                               0.00471698
abn-hl       all                                1
abn-tl       all                                1
abx          both                               1.01667
ap           enough                             0.0142264
ap           few                                0.048607
ap           fewer                              0.00592768
ap           former                             0.0243035
ap           further                            0.00118554
ap           last                               0.151156
ap           latter                             0.00770599
ap           least                              0.0343806
ap           less                               0.0148192
ap           little                             0.0201541
ap           many                               0.0995851
ap           more                               0.142264
ap           most                               0.0444576
ap           much                               0.0438648
ap           next                               0.0414938
ap           only                               0.048607
ap           other                              0.172496
ap           past                               0.0124481
ap           plenty                             0.000592768
ap           same                               0.0503853
ap           several                            0.0420865
ap           single                             0.0160047
ap           very                               0.00829875
ap$          other's                            1
ap-hl        enough                             0.0666667
ap-hl        last                               0.0666667
ap-hl        less                               0.0666667
ap-hl        little                             0.0666667
ap-hl        many                               0.133333
ap-hl        more                               0.266667
ap-hl        much                               0.133333
ap-hl        next                               0.0666667
ap-hl        other                              0.133333
ap-tl        last                               0.285714
ap-tl        much                               0.571429
ap-tl        other                              0.142857
at           a                                  0.384893
at           an                                 0.0407541
at           every                              0.00454206
at           no                                 0.016675
at           the                                1.9547
at-hl        a                                  0.174312
at-hl        an                                 0.0275229
at-hl        no                                 0.0275229
at-hl        the                                1.11927
at-tl        a                                  0.125714
at-tl        an                                 0.0171429
at-tl        no                                 0.0114286
at-tl        the                                1.16571
at-tl-hl     a                                  1
be           be                                 1.18039
be-hl        be                                 1
be-tl        be                                 1
bed          were                               1.13198
bed*         weren't                            1
bedz         was                                1.21295
bedz*        wasn't                             1
bedz-hl      was                                1
beg          being                              1.06838
bem          am                                 1
ben          been                               1.07053
ben-tl       been                               1
ber          are                                1.1528
ber*         aren't                             1
ber-hl       are                                1
ber-tl       are                                1
bez          is                                 1.27145
bez*         ain't                              0.0555556
bez*         isn't                              0.944444
bez-hl       is                                 1
bez-tl       is                                 1
cc           &                                  0.00352963
cc           and                                1.28813
cc           but                                0.128367
cc           either                             0.00297232
cc           neither                            0.00408694
cc           nor                                0.0055731
cc           or                                 0.0919562
cc           plus                               0.00278655
cc           yet                                0.00204347
cc-hl        &                                  0.0625
cc-hl        and                                0.875
cc-hl        but                                0.0625
cc-tl        &                                  0.294872
cc-tl        'n'                                0.0128205
cc-tl        and                                0.75641
cc-tl        or                                 0.0128205
cc-tl-hl     and                                1
cd           '49                                0.000353607
cd           '51                                0.000353607
cd           '52                                0.000353607
cd           '55                                0.000707214
cd           '60                                0.000353607
cd           035                                0.000353607
cd           046                                0.000353607
cd           060                                0.000353607
cd           1                                  0.0219236
cd           1,000                              0.000707214
cd           1,065                              0.000353607
cd           1,119                              0.000353607
cd           1,212,000                          0.000353607
cd           1,253                              0.000353607
cd           1,257,700                          0.000353607
cd           1,400                              0.000353607
cd           1,512                              0.000353607
cd           1,700                              0.000707214
cd           1,900                              0.000353607
cd           1-0                                0.000353607
cd           1-3                                0.000353607
cd           1.09.3                             0.000353607
cd           1.1                                0.000353607
cd           1.10.1                             0.000353607
cd           1.10.4                             0.000353607
cd           1.10.8                             0.000353607
cd           1.23                               0.000353607
cd           1.24                               0.000707214
cd           1.5                                0.00141443
cd           1.58                               0.000353607
cd           1.8                                0.000353607
cd           10                                 0.0155587
cd           10,000                             0.000353607
cd           10,000,000                         0.000353607
cd           100                                0.00742574
cd           100,000                            0.000353607
cd           1000                               0.000353607
cd           102                                0.000353607
cd           103                                0.000353607
cd           1065                               0.000707214
cd           1066                               0.000707214
cd           108                                0.000707214
cd           10:30                              0.000353607
cd           10:45                              0.000353607
cd           10:50                              0.000353607
cd           11                                 0.00707214
cd           11,744                             0.000353607
cd           11-18                              0.000353607
cd           11-3                               0.000353607
cd           11-5                               0.000353607
cd           11-7                               0.000353607
cd           110                                0.000353607
cd           114                                0.000353607
cd           11:30                              0.000353607
cd           12                                 0.00813296
cd           12,000                             0.000707214
cd           12-17                              0.000353607
cd           12.8                               0.000353607
cd           120                                0.000353607
cd           1200                               0.000353607
cd           1213                               0.000353607
cd           125                                0.000353607
cd           125,000                            0.000353607
