Tag           P(Tag|<s>)
----------  ------------
'            0.00181736
''           0.0014766
(            0.00431622
)            0.00306679
*            0.00204453
*-hl         0.000340754
,            0.000340754
--           0.0113585
.            0.000908678
.-hl         0.000227169
``           0.0432758
abl          0.000227169
abn          0.00352113
abn-hl       0.000227169
abx          0.00261245
ap           0.0127215
ap-hl        0.00102226
at           0.173217
at-hl        0.00340754
at-tl        0.000795093
at-tl-hl     0.000227169
be           0.000227169
bedz         0.000340754
beg          0.000227169
ber          0.000340754
ber*         0.000227169
bez          0.000795093
cc           0.0500909
cc-hl        0.000227169
cd           0.0159019
cd-hl        0.00170377
cd-tl        0.000227169
cs           0.0333939
do           0.000567924
do*          0.000340754
dod          0.000227169
doz          0.00124943
dt           0.0244207
dt+bez       0.000567924
dti          0.00477056
dti-hl       0.000227169
dts          0.0052249
dtx          0.000681508
ex           0.0122672
ex+bez       0.000681508
fw-at-hl     0.000227169
fw-at-tl     0.000340754
fw-nns-tl    0.000340754
hvd          0.000795093
hvg          0.000567924
hvz          0.000227169
in           0.0701954
in-hl        0.00511131
in-tl        0.000227169
jj           0.0157883
jj-hl        0.00477056
jj-tl        0.00329396
jj-tl-hl     0.000681508
jjr          0.000567924
jjr-hl       0.000567924
jjs          0.000340754
jjt          0.000567924
jjt-hl       0.000340754
md           0.00193094
md*-hl       0.000227169
md-hl        0.000454339
nn           0.0228305
nn$          0.000340754
nn$-hl       0.000340754
nn$-tl       0.000227169
nn-hl        0.0123807
nn-tl        0.0173785
nn-tl-hl     0.0014766
nns          0.020786
nns$-hl      0.000340754
nns-hl       0.00511131
nns-tl       0.000681508
np           0.095184
np$          0.00636075
np$-tl       0.000340754
np+bez       0.000227169
np-hl        0.013403
np-tl        0.00215811
np-tl-hl     0.000227169
nps          0.000340754
nps-hl       0.000340754
nr           0.00181736
nr$          0.000340754
nr-hl        0.000227169
od           0.000908678
od-hl        0.000227169
pn           0.00352113
pn+hvz       0.000227169
pn-hl        0.000227169
pp$          0.0165834
pp$$         0.000340754
pp$-hl       0.000227169
pps          0.0751931
pps+bez      0.00215811
pps+bez-hl   0.000227169
pps+hvz      0.000567924
pps+md       0.000567924
ppss         0.0306679
ppss+bem     0.00113585
ppss+ber     0.000227169
ppss+hv      0.000795093
ppss+md      0.00113585
ppss-hl      0.000227169
ql           0.00454339
qlp          0.000227169
rb           0.050886
rb+bez       0.000227169
rb-hl        0.00102226
rbr          0.00136302
rp           0.000454339
to           0.0029532
uh           0.00170377
uh-hl        0.000227169
vb           0.00658791
vb-hl        0.00113585
vb-tl        0.000454339
vbd          0.00113585
vbd-hl       0.000454339
vbg          0.0105634
vbg-hl       0.00215811
vbg-tl       0.000227169
vbn          0.00556565
vbn-hl       0.0014766
vbn-tl       0.000454339
vbn-tl-hl    0.000227169
vbz          0.000681508
vbz-hl       0.00318037
wdt          0.0052249
wdt+bez      0.000340754
wdt+bez-hl   0.000227169
wdt-hl       0.000454339
wps          0.000795093
wql          0.000454339
wrb          0.0109041
wrb-hl       0.000340754
