Tag A        Tag B          P(Tag_A, Tag_B)
-----------  -----------  -----------------
'            ''                    0.035714
'            *-hl                  0.005952
'            ,                     0.008929
'            .                     0.005952
'            at                    0.005952
'            at-hl                 0.005952
'            at-tl                 0.005952
'            bez                   0.005952
'            cc                    0.005952
'            do                    0.005952
'            do*                   0.005952
'            hvd-hl                0.005952
'            in                    0.011905
'            jj                    0.014881
'            jjt-hl                0.005952
'            nn                    0.008929
'            nn-hl                 0.008929
'            nns                   0.008929
'            nns-hl                0.005952
'            np                    0.011905
'            pps+bez               0.005952
'            ppss                  0.014881
'            ppss+ber              0.005952
'            rb                    0.005952
'            rb-hl                 0.005952
'            vb                    0.017857
'            vb-hl                 0.008929
'            vbn                   0.008929
''           (                     0.003711
''           )                     0.006803
''           ,                     0.221398
''           --                    0.009895
''           .                     0.338899
''           .-hl                  0.001237
''           :                     0.001855
''           ``                    0.001237
''           at                    0.007421
''           bed                   0.003092
''           bedz                  0.006184
''           bedz*                 0.001237
''           ber                   0.004947
''           bez                   0.013605
''           cc                    0.026592
''           cd                    0.001855
''           cs                    0.009276
''           dt                    0.001855
''           fw-nn                 0.001855
''           hv                    0.001237
''           hvd                   0.001855
''           hvz                   0.003092
''           in                    0.060606
''           in-tl                 0.001855
''           jj                    0.002474
''           jj-tl                 0.001237
''           md                    0.006184
''           nn                    0.03525
''           nn-tl                 0.001855
''           nns                   0.01175
''           nns-hl                0.001237
''           nns-tl                0.001237
''           np                    0.005566
''           np-tl                 0.001237
''           nr                    0.001237
''           pp$                   0.002474
''           ppo                   0.001855
''           pps                   0.002474
''           ppss                  0.003092
''           ql                    0.001855
''           rb                    0.007421
''           to                    0.003092
''           vb                    0.003092
''           vbd                   0.004329
''           vbg                   0.003711
''           vbn                   0.005566
''           vbn-tl                0.001237
''           vbz                   0.007421
''           wdt                   0.005566
''           wps                   0.003092
''           wrb                   0.002474
(            (                     0.003472
(            *                     0.003472
(            ``                    0.015625
(            abx                   0.003472
(            ap                    0.005208
(            at                    0.039931
(            bedz                  0.003472
(            cc                    0.013889
(            cd                    0.059028
(            cs                    0.017361
(            dti                   0.003472
(            in                    0.045139
(            jj                    0.019097
(            jj-tl                 0.008681
(            nn                    0.015625
(            nn-tl                 0.03125
(            nns                   0.005208
(            nns-tl                0.003472
(            np                    0.130208
(            np$                   0.005208
(            nr$                   0.003472
(            nr$-tl                0.003472
(            nr-tl                 0.003472
(            pp$                   0.010417
(            pps                   0.008681
(            ppss                  0.005208
(            ql                    0.005208
(            rb                    0.027778
(            rbr                   0.003472
(            to                    0.003472
(            vb                    0.012153
(            vb-tl                 0.003472
(            vbg                   0.012153
(            vbg-tl                0.003472
(            vbn                   0.015625
(            wdt                   0.017361
(            wps                   0.005208
(            wrb                   0.006944
(-hl         jj-hl                 0.016779
(-hl         nn-hl                 0.010067
(-hl         np-hl                 0.050336
)            '                     0.00361
)            ''                    0.005415
)            *                     0.00361
)            ,                     0.083032
)            --                    0.005415
)            .                     0.099278
)            :                     0.00361
)            ``                    0.00722
)            at                    0.01444
)            bed                   0.00361
)            bedz                  0.005415
)            ber                   0.01083
)            bez                   0.01083
)            cc                    0.046931
)            cs                    0.00722
)            do                    0.00361
)            dod                   0.00361
)            hv                    0.00361
)            hvd                   0.009025
)            hvz                   0.00361
)            in                    0.037906
)            jj                    0.005415
)            md                    0.01444
)            nn                    0.023466
)            nn-tl                 0.00361
)            nns                   0.009025
)            np                    0.027076
)            np$                   0.00361
)            np-hl                 0.005415
)            pps                   0.009025
)            ppss                  0.00361
)            ppss+hv               0.00361
)            rb                    0.00722
)            to                    0.00722
)            vb                    0.012635
)            vbd                   0.019856
)            vbg                   0.009025
)            vbn                   0.012635
)            vbz                   0.012635
)            wps                   0.005415
)            wrb                   0.005415
)-hl         .-hl                  0.007168
*            '                     0.002188
*            ''                    0.002188
*            ,                     0.010941
*            .                     0.006565
*            abn                   0.006565
*            ap                    0.010941
*            at                    0.056893
*            be                    0.04814
*            beg                   0.003282
*            ben                   0.015317
*            cc                    0.002188
*            cd                    0.003282
*            cs                    0.008753
*            do                    0.004376
*            dt                    0.003282
*            dti                   0.002188
*            ex                    0.002188
*            fw-at-tl              0.002188
*            hv                    0.012035
*            hvg                   0.003282
*            hvn                   0.002188
*            in                    0.044858
*            jj                    0.054705
*            md                    0.002188
*            nn                    0.012035
*            nns                   0.00547
