Toplam kelime sayısı: 184384
Tekil kelime sayısı: 19456

Kelime                          Frekans  Most Likely Tag
----------------------------  ---------  -----------------
the                               11542  at
,                                  9237  ,
.                                  7315  .
of                                 5655  in
and                                4289  cc
to                                 4005  to
a                                  3901  at
in                                 3472  in
is                                 1789  bez
for                                1637  in
that                               1601  cs
``                                 1392  ``
''                                 1353  ''
he                                 1176  pps
was                                1175  bedz
it                                 1119  pps
on                                 1103  in
with                               1069  in
as                                 1063  cs
be                                 1023  be
at                                  964  in
by                                  929  in
his                                 873  pp$
this                                749  dt
are                                 741  ber
but                                 685  cc
has                                 683  hvz
from                                641  in
not                                 640  *
will                                630  md
;                                   626  .
an                                  609  at
have                                603  hv
--                                  558  --
who                                 532  wps
they                                496  ppss
which                               489  wdt
one                                 470  cd
said                                454  vbd
would                               445  md
had                                 435  hvd
new                                 427  jj
all                                 416  abn
?                                   412  .
or                                  404  cc
been                                398  ben
their                               396  pp$
were                                394  bed
more                                386  ap
there                               375  ex
i                                   372  ppss
mr.                                 370  np
its                                 358  pp$
when                                333  wrb
)                                   322  )
we                                  319  ppss
(                                   319  (
:                                   319  :
than                                291  cs
other                               282  ap
first                               282  od
out                                 276  rp
no                                  273  at
two                                 267  cd
mrs.                                266  np
last                                265  ap
up                                  265  rp
some                                255  dti
about                               254  in
if                                  250  cs
so                                  247  ql
her                                 246  pp$
can                                 239  md
only                                233  rb
what                                232  wdt
him                                 220  ppo
state                               214  nn
after                               211  in
into                                207  in
year                                199  nn
time                                197  nn
also                                193  rb
most                                193  ql
do                                  192  do
them                                191  ppo
may                                 187  md
now                                 186  rb
over                                185  in
you                                 184  ppss
she                                 180  pps
any                                 179  dti
years                               178  nns
made                                177  vbn
president                           176  nn-tl
could                               176  md
our                                 171  pp$
american                            168  jj
man                                 161  nn
many                                161  ap
these                               161  dts
home                                158  nn
should                              158  md
city                                156  nn
such                                155  jj
then                                154  rb
even                                149  rb
before                              146  cs
good                                146  jj
people                              144  nns
program                             144  nn
those                               135  dts
united                              134  vbn-tl
world                               133  nn
